X1_pfam_counts.txt	X2_pfam_counts.txt	X3_pfam_counts.txt	X4_pfam_counts.txt	X5_pfam_counts.txt	X6_pfam_counts.txt	pfamdesc	molecular_function	biological_process	cellular_component
PF03909	8	10	2	2	6	11	BSD domain	NA	NA	NA
PF03704	8	9	9	5	9	29	Bacterial transcriptional activator domain	NA	NA	NA
PF03378	8	14	4	9	10	17	CAS/CSE protein, C-terminus	GO:0005515	NA	NA
PF09490	8	10	11	2	9	13	Probable cobalt transporter subunit (CbtA)	NA	NA	NA
PF01130	8	20	6	14	5	22	CD36 family	NA	GO:0007155	GO:0016020
PF02724	8	4	5	9	8	6	CDC45-like protein	NA	GO:0006270	NA
PF03502	8	5	5	5	13	19	Nucleoside-specific channel-forming protein, Tsx	NA	NA	GO:0009279
PF16417	8	13	7	11	14	6	CCR4-NOT transcription complex subunit 1 TTP binding domain	NA	NA	NA
PF16381	8	14	5	6	11	13	Coatomer subunit gamma-1 C-terminal appendage platform	NA	NA	NA
PF05425	8	8	5	3	6	18	Copper resistance protein D	NA	NA	GO:0016021
PF16189	8	7	10	10	11	21	Creatinase/Prolidase N-terminal domain	NA	NA	NA
PF04818	8	5	1	6	10	9	RNA polymerase II-binding domain.	NA	NA	NA
PF04126	8	7	12	11	8	23	Cyclophilin-like	NA	NA	NA
PF02833	8	5	6	4	7	52	DHHA2 domain	GO:0016462	NA	GO:0005737
PF08068	8	21	10	9	24	8	DKCLD (NUC011) domain	NA	NA	NA
PF14792	8	6	7	5	5	13	DNA polymerase beta palm	NA	NA	NA
PF01896	8	14	7	16	7	36	Eukaryotic and archaeal DNA primase small subunit	GO:0003896	GO:0006269	NA
PF09850	8	7	7	2	6	9	Type VI secretion system protein DotU	NA	NA	NA
PF06568	8	15	7	12	19	25	Domain of unknown function (DUF1127)	NA	NA	NA
PF06865	8	2	7	2	8	7	Protein of unknown function (DUF1255)	NA	NA	NA
PF02001	8	5	14	7	5	15	Protein of unknown function  DUF134	NA	NA	NA
PF07081	8	9	6	7	5	7	Protein of unknown function (DUF1349)	NA	NA	NA
PF07209	8	6	10	7	7	24	Protein of unknown function (DUF1415)	NA	NA	NA
PF07510	8	5	10	2	6	9	Protein of unknown function (DUF1524)	NA	NA	NA
PF07643	8	6	18	9	7	9	Protein of unknown function (DUF1598)	NA	NA	NA
PF09954	8	2	0	3	2	11	Uncharacterized protein conserved in bacteria (DUF2188)	NA	NA	NA
PF10011	8	1	4	4	2	9	Predicted membrane protein (DUF2254)	NA	NA	NA
PF02995	8	5	2	4	11	17	Protein of unknown function (DUF229)	NA	NA	NA
PF10184	8	4	7	4	7	6	Uncharacterized conserved protein (DUF2358)	NA	NA	NA
PF10335	8	6	12	6	11	22	Putative nucleotidyltransferase substrate binding domain	NA	NA	NA
PF11230	8	1	5	9	2	29	Protein of unknown function (DUF3029)	NA	NA	NA
PF11249	8	10	13	3	0	10	Protein of unknown function (DUF3047)	NA	NA	NA
PF11329	8	9	5	11	4	14	Protein of unknown function (DUF3131)	NA	NA	NA
PF11748	8	5	14	10	4	8	Protein of unknown function (DUF3306)	NA	NA	NA
PF11865	8	6	1	4	5	6	Domain of unknown function (DUF3385)	NA	NA	NA
PF11947	8	5	4	1	3	3	Protein of unknown function (DUF3464)	NA	NA	NA
PF04007	8	12	15	6	11	19	Protein of unknown function (DUF354)	NA	NA	NA
PF12070	8	6	4	2	5	7	Protein of unknown function (DUF3550/UPF0682)	GO:0003714	GO:0006351	NA
PF12128	8	9	2	5	8	14	Protein of unknown function (DUF3584)	NA	NA	NA
PF04034	8	4	2	2	3	13	Domain of unknown function (DUF367)	NA	NA	NA
PF12684	8	23	18	19	7	49	PDDEXK-like domain of unknown function (DUF3799)	NA	NA	NA
PF13148	8	3	6	0	4	24	Protein of unknown function (DUF3987)	NA	NA	NA
PF13282	8	10	9	8	9	21	Domain of unknown function (DUF4070)	NA	NA	NA
PF13732	8	5	4	5	1	10	Domain of unknown function (DUF4162)	NA	NA	NA
PF13776	8	3	5	3	5	12	Domain of unknown function (DUF4172)	NA	NA	NA
PF13870	8	30	4	2	4	19	Domain of unknown function (DUF4201)	NA	NA	NA
PF14124	8	3	4	2	2	5	Domain of unknown function (DUF4291)	NA	NA	NA
PF14311	8	7	6	4	4	10	Probable Zinc-ribbon domain	NA	NA	NA
PF14315	8	7	10	8	5	8	Domain of unknown function (DUF4380)	NA	NA	NA
PF17116	8	2	5	1	2	8	Domain of unknown function (DUF5103)	NA	NA	NA
PF04577	8	10	10	8	14	9	Protein of unknown function (DUF563)	GO:0016757	NA	NA
PF04978	8	3	12	1	4	4	Protein of unknown function (DUF664)	NA	NA	NA
PF06127	8	7	15	8	17	17	Protein of unknown function (DUF962)	NA	NA	NA
PF07528	8	29	5	18	38	23	DZF domain	NA	NA	NA
PF12353	8	2	0	3	6	4	Eukaryotic translation initiation factor 3 subunit G	NA	NA	NA
PF04493	8	24	11	9	16	26	Endonuclease V	GO:0004519	GO:0006281	NA
PF02732	8	6	6	3	13	11	ERCC4 domain	GO:0003677,GO:0004518	NA	NA
PF02260	8	6	3	2	9	3	FATC domain	GO:0005515	NA	NA
PF05523	8	4	11	3	11	16	WxcM-like, C-terminal	NA	NA	NA
PF05725	8	4	7	8	9	12	FNIP Repeat	NA	NA	NA
PF08867	8	4	9	5	9	18	FRG domain	NA	NA	NA
PF01534	8	30	1	15	19	19	Frizzled/Smoothened family membrane region	NA	GO:0007166	GO:0016020
PF04632	8	10	8	7	6	16	Fusaric acid resistance protein family	NA	GO:0006810	GO:0005886
PF00337	8	7	4	2	14	23	Galactoside-binding lectin	GO:0030246	NA	NA
PF14845	8	8	5	4	5	6	beta-acetyl hexosaminidase like	NA	NA	NA
PF03537	8	9	9	7	10	16	Glycoside-hydrolase family GH114	NA	NA	NA
PF14498	8	10	8	13	9	36	Glycosyl hydrolase family 65, N-terminal domain	NA	NA	NA
PF03071	8	12	2	7	9	18	GNT-I family	GO:0008375	GO:0006486	NA
PF12471	8	6	12	9	6	13	GTP cyclohydrolase N terminal	NA	NA	NA
PF04138	8	5	9	3	10	11	GtrA-like protein	NA	GO:0000271,GO:0006810	GO:0016021
PF03451	8	27	13	9	10	16	HELP motif	NA	NA	NA
PF01079	8	4	5	7	5	10	Hint module	GO:0008233	GO:0006508	NA
PF13403	8	7	16	8	12	11	Hint domain	NA	NA	NA
PF07805	8	9	8	9	14	40	HipA-like N-terminal domain	NA	NA	NA
PF08482	8	7	9	6	4	30	ATP-dependent helicase C-terminal	NA	NA	NA
PF13601	8	11	7	3	14	16	Winged helix DNA-binding domain	NA	NA	NA
PF06744	8	2	2	2	5	5	Type VI secretion protein IcmF C-terminal	NA	NA	NA
PF12998	8	5	1	3	4	1	Inhibitor of growth proteins N-terminal histone-binding	NA	NA	NA
PF06246	8	7	11	8	10	16	Isy1-like splicing family	NA	NA	NA
PF09744	8	8	0	2	15	12	JNK_SAPK-associated protein-1	NA	NA	NA
PF14606	8	4	6	4	7	12	GDSL-like Lipase/Acylhydrolase family	NA	NA	NA
PF08557	8	9	5	4	8	9	Sphingolipid Delta4-desaturase (DES)	NA	NA	NA
PF05007	8	5	1	1	5	9	Mannosyltransferase (PIG-M)	GO:0016758	GO:0006506	GO:0016021
PF10117	8	7	2	1	5	13	McrBC 5-methylcytosine restriction system component	NA	NA	NA
PF02240	8	4	1	0	5	1	Methyl-coenzyme M reductase gamma subunit	GO:0050524	GO:0015948	NA
PF11716	8	8	17	6	5	16	Mycothiol maleylpyruvate isomerase N-terminal domain	GO:0046872	NA	NA
PF13383	8	4	4	11	2	10	Methyltransferase domain	NA	NA	NA
PF08267	8	5	7	5	16	12	Cobalamin-independent synthase, N-terminal domain	GO:0003871,GO:0008270	GO:0008652	NA
PF06779	8	7	7	4	5	35	Uncharacterised MFS-type transporter YbfB	NA	NA	NA
PF06039	8	3	11	4	3	18	Malate:quinone oxidoreductase (Mqo)	GO:0008924	GO:0006099	NA
PF05712	8	3	2	8	5	6	MRG	NA	NA	NA
PF05369	8	9	10	11	14	32	Monomethylamine methyltransferase MtmB	GO:0008168	GO:0032259	NA
PF03083	8	3	3	6	8	9	Sugar efflux transporter for intercellular exchange	NA	NA	GO:0016021
PF10551	8	10	11	5	3	19	MULE transposase domain	NA	NA	NA
PF08378	8	8	5	11	6	25	Nuclease-related domain	NA	NA	NA
PF02579	8	9	12	12	3	34	Dinitrogenase iron-molybdenum cofactor	NA	NA	NA
PF14710	8	28	5	19	17	24	Respiratory nitrate reductase alpha N-terminal	NA	NA	NA
PF04973	8	2	4	9	5	30	Nicotinamide mononucleotide transporter	GO:0034257	GO:0034258	GO:0016020
PF03813	8	4	2	4	7	3	Nrap protein	NA	NA	NA
PF14907	8	6	12	4	3	22	Uncharacterised nucleotidyltransferase	NA	NA	NA
PF01733	8	7	0	5	10	16	Nucleoside transporter	GO:0005337	GO:0006810	GO:0016021
PF09376	8	2	7	9	4	6	NurA domain	NA	NA	NA
PF04636	8	14	3	6	17	21	PA26 p53-induced protein (sestrin)	NA	GO:1901031	GO:0005634
PF02252	8	11	5	5	12	9	Proteasome activator pa28 beta subunit	NA	NA	GO:0008537
PF00024	8	8	0	0	4	7	PAN domain	NA	NA	NA
PF00354	8	3	3	2	4	4	Pentaxin family	NA	NA	NA
PF16188	8	9	5	5	13	15	C-terminal region of peptidase_M24	NA	NA	NA
PF13675	8	5	10	7	6	18	Type IV pili methyl-accepting chemotaxis transducer N-term	NA	NA	NA
PF16930	8	3	5	2	2	6	Putative porin	NA	NA	NA
PF01239	8	4	11	9	12	15	Protein prenyltransferase alpha subunit repeat	GO:0008318	GO:0018342	NA
PF13015	8	5	2	5	9	8	Glucosidase II beta subunit-like protein	NA	NA	NA
PF04683	8	16	3	4	3	7	Proteasome complex subunit Rpn13 ubiquitin receptor	NA	NA	GO:0005634,GO:0005737
PF16450	8	3	8	5	2	10	Proteasomal ATPase OB/ID domain	NA	NA	NA
PF08606	8	7	6	7	7	3	Prp19/Pso4-like	NA	NA	NA
PF01789	8	6	10	5	2	2	PsbP	GO:0005509	GO:0015979	GO:0009523,GO:0009654,GO:0019898
PF00796	8	2	24	20	18	10	Photosystem I reaction centre subunit VIII	NA	GO:0015979	GO:0009522
PF03095	8	16	4	10	9	15	Phosphotyrosyl phosphate activator (PTPA) protein	GO:0019211	NA	NA
PF00855	8	8	3	13	16	14	PWWP domain	NA	NA	NA
PF03013	8	7	9	4	4	2	Pyrimidine dimer DNA glycosylase	NA	NA	NA
PF12234	8	9	2	11	20	18	RAVE protein 1 C terminal	NA	NA	NA
PF02565	8	7	15	5	5	17	Recombination protein O C terminal	NA	GO:0006281,GO:0006310	NA
PF14759	8	5	5	6	6	15	Reductase C-terminal	NA	NA	NA
PF08519	8	1	4	2	3	1	Replication factor RFC1 C terminal domain	GO:0003689,GO:0005524	GO:0006260	GO:0005663
PF12906	8	17	5	12	15	22	RING-variant domain	GO:0008270	NA	NA
PF16367	8	10	2	2	5	13	RNA recognition motif	GO:0003676	NA	NA
PF05889	8	10	6	8	10	5	O-phosphoseryl-tRNA(Sec) selenium transferase, SepSecS	GO:0016740	NA	NA
PF06347	8	4	10	1	5	17	Bacterial SH3 domain	NA	NA	NA
PF08498	8	7	8	6	7	5	Sterol methyltransferase C-terminal	GO:0008168	GO:0006694	NA
PF10544	8	2	4	1	3	5	T5orf172 domain	NA	NA	NA
PF07986	8	5	3	9	2	4	Tubulin binding cofactor C	NA	NA	NA
PF07331	8	4	14	8	5	9	Tripartite tricarboxylate transporter TctB family	NA	NA	NA
PF03645	8	28	11	23	26	21	Tctex-1 family	NA	NA	NA
PF05876	8	11	8	3	6	31	Phage terminase large subunit (GpA)	NA	NA	NA
PF13743	8	3	17	5	9	20	Thioredoxin	NA	NA	NA
PF14595	8	3	6	6	8	12	Thioredoxin	NA	NA	NA
PF10520	8	16	8	7	7	19	B domain of TMEM189, localisation domain	NA	NA	NA
PF12755	8	5	5	6	12	10	Vacuolar 14 Fab1-binding region	NA	NA	NA
PF01660	8	5	2	2	1	7	Viral methyltransferase	GO:0003723,GO:0008174	GO:0006396,GO:0080009	NA
PF04129	8	10	4	2	3	9	Vps52 / Sac2 family	NA	NA	NA
PF00568	8	13	1	4	15	14	WH1 domain	NA	NA	NA
PF15738	8	1	5	5	6	11	Bacterial toxin of type II toxin-antitoxin system, YafQ	NA	NA	NA
PF12756	8	9	6	4	8	20	C2H2 type zinc-finger (2 copies)	NA	NA	NA
PF04354	8	6	8	2	6	11	ZipA, C-terminal FtsZ-binding domain	NA	GO:0000917	GO:0016021
PF13408	8	14	8	6	6	37	Recombinase zinc beta ribbon domain	NA	NA	NA
PF02949	7	5	3	5	2	12	7tm Odorant receptor	GO:0004984,GO:0005549	GO:0007608	GO:0016020
PF13872	7	8	3	6	5	12	P-loop containing NTP hydrolase pore-1	NA	NA	NA
PF01643	7	3	2	3	1	4	Acyl-ACP thioesterase	GO:0016790	GO:0006633	NA
PF02551	7	4	10	4	5	10	Acyl-CoA thioesterase	NA	NA	NA
PF16579	7	8	4	2	5	13	Adenylate sensor of SNF1-like protein kinase	NA	NA	NA
PF06029	7	0	2	3	3	16	AlkA N-terminal domain	NA	NA	NA
PF04739	7	3	4	3	5	2	5'-AMP-activated protein kinase beta subunit, interaction domain	GO:0005515	NA	NA
PF03256	7	6	2	8	9	6	Anaphase-promoting complex, subunit 10 (APC10)	NA	NA	NA
PF12895	7	9	2	6	2	5	Anaphase-promoting complex, cyclosome, subunit 3	NA	NA	NA
PF16486	7	11	6	8	8	18	N-terminal domain of argonaute	NA	NA	NA
PF02752	7	11	2	2	9	7	Arrestin (or S-antigen), C-terminal domain	NA	NA	NA
PF03987	7	7	3	5	6	12	Autophagocytosis associated protein, active-site domain	NA	NA	NA
PF03986	7	13	3	4	12	17	Autophagocytosis associated protein (Atg3), N-terminal domain	NA	NA	NA
PF07162	7	16	3	4	3	2	Ciliary basal body-associated, B9 protein	NA	NA	NA
PF07707	7	10	6	11	19	25	BTB And C-terminal Kelch	NA	NA	NA
PF04450	7	5	8	4	8	11	Peptidase of plants and bacteria	NA	NA	NA
PF02743	7	17	8	11	18	53	Cache domain	NA	NA	NA
PF09732	7	8	6	8	6	7	Cactus-binding C-terminus of cactin protein	GO:0005515	NA	NA
PF01867	7	8	8	8	6	24	CRISPR associated protein Cas1	NA	NA	NA
PF11760	7	8	7	2	2	12	Cobalamin synthesis G N-terminal	NA	NA	NA
PF03040	7	1	0	1	0	0	CemA family	NA	NA	GO:0016021
PF05257	7	5	13	4	5	11	CHAP domain	NA	NA	NA
PF13144	7	7	4	3	1	3	Chaperone for flagella basal body P-ring formation	NA	NA	NA
PF13690	7	9	5	1	6	56	Chemotaxis phosphatase CheX	NA	NA	NA
PF07736	7	5	10	3	6	3	Chorismate mutase type I	NA	NA	NA
PF02654	7	10	12	5	9	45	Cobalamin-5-phosphate synthase	GO:0008818,GO:0051073	GO:0009236	NA
PF03772	7	16	10	14	17	63	Competence protein	NA	NA	NA
PF14218	7	6	5	5	3	2	Circadian oscillating protein COP23	NA	NA	NA
PF00190	7	6	10	8	6	13	Cupin	GO:0045735	NA	NA
PF16213	7	10	8	8	17	19	Dimerisation and cyclophilin-binding domain of Mon2	NA	NA	NA
PF02286	7	7	10	9	6	33	Dehydratase large subunit	GO:0016836,GO:0031419,GO:0050215	GO:0008152	NA
PF05103	7	17	11	10	11	18	DivIVA protein	NA	NA	NA
PF14878	7	4	6	5	7	9	Death-like domain of SPT6	NA	NA	NA
PF05783	7	8	5	8	32	15	Dynein light intermediate chain (DLIC)	NA	NA	NA
PF08883	7	8	8	6	6	9	Dopa 4,5-dioxygenase family	NA	NA	NA
PF08781	7	2	0	5	3	7	Transcription factor DP	NA	NA	NA
PF07289	7	14	5	9	8	5	Protein of unknown function (DUF1448)	NA	NA	GO:0034464
PF07295	7	9	10	11	13	14	Zinc-ribbon containing domain	NA	NA	NA
PF07607	7	3	5	3	6	11	Protein of unknown function (DUF1570)	NA	NA	NA
PF07774	7	5	1	5	6	2	Protein of unknown function (DUF1620)	NA	NA	NA
PF08351	7	7	4	4	9	6	Domain of unknown function (DUF1726)	NA	NA	NA
PF08570	7	4	12	8	5	12	Protein of unknown function (DUF1761)	NA	NA	NA
PF08768	7	6	12	6	14	21	Domain of unknown function (DUF1794)	NA	NA	NA
PF08844	7	3	5	3	4	2	Domain of unknown function (DUF1815)	NA	NA	NA
PF08894	7	3	2	3	3	3	Protein of unknown function (DUF1838)	NA	NA	NA
PF08895	7	6	9	4	3	5	Domain of unknown function (DUF1840)	NA	NA	NA
PF08903	7	6	5	8	7	30	Domain of unknown function (DUF1846)	NA	NA	NA
PF09118	7	5	9	2	4	5	Domain of unknown function (DUF1929)	NA	NA	NA
PF09350	7	4	8	5	2	15	Domain of unknown function (DUF1992)	NA	NA	NA
PF09834	7	2	6	10	8	10	Predicted membrane protein (DUF2061)	NA	NA	NA
PF09862	7	6	5	9	4	4	Protein of unknown function (DUF2089)	NA	NA	NA
PF09937	7	11	10	6	12	10	Uncharacterized protein conserved in bacteria (DUF2169)	NA	NA	NA
PF09941	7	9	8	5	4	6	Uncharacterized conserved protein (DUF2173)	NA	NA	NA
PF02720	7	10	13	6	10	42	Domain of unknown function (DUF222)	NA	NA	NA
PF10047	7	3	3	3	5	2	Protein of unknown function (DUF2281)	NA	NA	NA
PF11137	7	0	6	3	6	5	Protein of unknown function (DUF2909)	NA	NA	NA
PF11174	7	4	6	3	3	7	Protein of unknown function (DUF2970)	NA	NA	NA
PF11870	7	3	3	1	3	10	Domain of unknown function (DUF3390)	NA	NA	NA
PF12055	7	3	4	0	1	9	Domain of unknown function (DUF3536)	NA	NA	NA
PF12119	7	7	10	5	9	18	Protein of unknown function (DUF3581)	NA	NA	NA
PF12463	7	4	3	0	4	1	Protein of unknown function (DUF3689)	NA	NA	NA
PF10300	7	8	0	2	10	6	Protein of unknown function (DUF3808)	NA	NA	NA
PF13448	7	10	4	12	10	7	Domain of unknown function (DUF4114)	NA	NA	NA
PF13664	7	2	6	1	2	1	Domain of unknown function (DUF4149)	NA	NA	NA
PF10670	7	7	2	4	4	16	Domain of unknown function (DUF4198)	NA	NA	NA
PF14273	7	1	1	4	1	0	Domain of unknown function (DUF4360)	NA	NA	NA
PF14329	7	11	0	6	12	28	Domain of unknown function (DUF4386)	NA	NA	NA
PF14333	7	2	6	15	6	9	Domain of unknown function (DUF4389)	NA	NA	NA
PF14388	7	11	5	6	14	26	Domain of unknown function (DUF4419)	NA	NA	NA
PF14499	7	4	9	4	1	15	Domain of unknown function (DUF4437)	NA	NA	NA
PF16691	7	3	8	11	10	16	Domain of unknown function (DUF5062)	NA	NA	NA
PF05987	7	3	11	6	3	29	Bacterial protein of unknown function (DUF898)	NA	NA	NA
PF08463	7	6	8	4	6	27	EcoEI R protein C-terminal	GO:0003677,GO:0003824	GO:0006304	NA
PF11957	7	9	4	7	6	8	THO complex subunit 1 transcription elongation factor	NA	NA	NA
PF03611	7	8	3	3	4	19	PTS system sugar-specific permease component	NA	GO:0009401	GO:0016021
PF10163	7	8	3	5	4	11	Transcription factor e(y)2	NA	NA	NA
PF00178	7	19	4	10	12	19	Ets-domain	GO:0003700,GO:0043565	GO:0006355	NA
PF14826	7	5	2	5	9	5	FACT complex subunit SPT16 N-terminal lobe domain	NA	NA	NA
PF06702	7	3	1	1	5	1	Golgi casein kinase, C-terminal, Fam20	NA	NA	NA
PF07692	7	7	9	5	8	6	Low iron-inducible periplasmic protein	NA	NA	NA
PF12682	7	4	1	2	2	6	Flavodoxin	GO:0010181	NA	NA
PF13861	7	3	8	4	1	1	FlgD Tudor-like domain	NA	NA	NA
PF09758	7	7	3	2	6	5	Uncharacterised conserved protein	NA	NA	NA
PF04999	7	3	9	3	9	12	Cell division protein FtsL	NA	GO:0007049,GO:0051301	GO:0016021
PF16757	7	5	8	4	2	25	Alpha-L-fucosidase C-terminal domain	NA	NA	NA
PF04399	7	4	2	4	4	3	Glutaredoxin 2, C terminal domain	NA	NA	NA
PF02838	7	7	6	4	8	30	Glycosyl hydrolase family 20, domain 2	NA	NA	NA
PF02449	7	14	8	8	6	38	Beta-galactosidase	GO:0004565	GO:0005975	GO:0009341
PF03198	7	6	2	1	3	1	Glucanosyltransferase	NA	NA	NA
PF03663	7	5	3	6	4	14	Glycosyl hydrolase family 76	NA	NA	NA
PF13896	7	9	4	5	7	10	Glycosyl-transferase for dystroglycan	NA	NA	NA
PF01697	7	2	4	7	6	8	Glycosyltransferase family 92	NA	NA	NA
PF04464	7	5	5	5	10	24	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase	GO:0047355	NA	GO:0016020
PF05351	7	14	10	9	18	15	GMP-PDE, delta subunit	NA	NA	NA
PF05719	7	14	4	5	9	11	Golgi phosphoprotein 3 (GPP34)	GO:0070273	GO:0048193	NA
PF02893	7	8	0	3	12	16	GRAM domain	NA	NA	NA
PF14578	7	3	5	2	4	8	Elongation factor Tu domain 4	NA	NA	NA
PF14607	7	3	2	6	5	7	N-terminus of Esterase_SGNH_hydro-type	NA	NA	NA
PF04375	7	0	7	6	1	3	HemX	NA	NA	NA
PF08888	7	2	2	2	6	10	HopJ type III effector protein	NA	NA	NA
PF02218	7	27	2	14	21	25	Repeat in HS1/Cortactin	NA	NA	NA
PF07743	7	0	3	2	2	4	HSCB C-terminal oligomerisation domain	NA	GO:0051259	NA
PF13613	7	7	4	1	2	2	Helix-turn-helix of DDE superfamily endonuclease	NA	NA	NA
PF12759	7	3	5	2	6	12	InsA C-terminal domain	NA	NA	NA
PF01498	7	7	11	2	0	15	Transposase	GO:0003677	GO:0006313,GO:0015074	NA
PF01231	7	9	4	3	1	10	Indoleamine 2,3-dioxygenase	GO:0020037	NA	NA
PF05770	7	11	2	3	4	8	Inositol 1, 3, 4-trisphosphate 5/6-kinase	GO:0000287,GO:0005524,GO:0047325,GO:0052725,GO:0052726	GO:0032957	GO:0005622
PF08709	7	11	0	10	39	12	Inositol 1,4,5-trisphosphate/ryanodine receptor	NA	NA	NA
PF05804	7	22	5	9	18	14	Kinesin-associated protein (KAP)	NA	NA	NA
PF09775	7	3	3	2	8	7	Keratinocyte-associated protein 2	NA	NA	NA
PF01803	7	3	1	0	12	3	LIM-domain binding protein	NA	NA	NA
PF04390	7	3	2	3	5	13	Lipopolysaccharide-assembly	NA	GO:0043165	GO:0019867
PF04970	7	2	1	0	1	6	Lecithin retinol acyltransferase	NA	NA	NA
PF07813	7	4	7	5	1	3	LTXXQ motif family protein	NA	NA	GO:0042597
PF05893	7	2	4	3	3	14	Acyl-CoA reductase (LuxC)	GO:0003995	GO:0008218,GO:0055114	NA
PF13007	7	3	8	13	12	28	Transposase C of IS166 homeodomain	NA	NA	NA
PF04874	7	4	1	1	4	12	Mak16 protein C-terminal region	NA	NA	NA
PF02505	7	1	2	0	5	0	Methyl-coenzyme M reductase operon protein D	NA	GO:0015948	NA
PF09445	7	5	5	8	5	11	RNA cap guanine-N2 methyltransferase	GO:0008168	GO:0001510,GO:0009452	NA
PF02870	7	9	3	7	5	22	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain	GO:0003908	GO:0006281	NA
PF08003	7	18	13	10	17	49	Protein of unknown function (DUF1698)	NA	NA	NA
PF03165	7	6	5	7	14	25	MH1 domain	NA	GO:0006355	GO:0005622
PF09731	7	2	1	7	11	19	Mitochondrial inner membrane protein	NA	NA	NA
PF09139	7	5	2	3	6	7	Mitochondrial matrix Mmp37	NA	NA	NA
PF14222	7	8	1	4	4	11	Cell morphogenesis N-terminal	NA	NA	NA
PF00893	7	10	18	9	5	32	Small Multidrug Resistance protein	NA	NA	GO:0016021
PF03927	7	9	1	9	6	16	NapD protein	NA	NA	NA
PF05676	7	5	5	2	10	6	NADH-ubiquinone oxidoreductase B18 subunit (NDUFB7)	GO:0003954,GO:0008137	NA	GO:0005739
PF09383	7	5	4	2	3	5	NIL domain	NA	NA	NA
PF08376	7	1	2	0	3	6	Nitrate and nitrite sensing	NA	NA	NA
PF07984	7	31	0	5	8	12	Nucleotidyltransferase	NA	NA	NA
PF01389	7	1	6	7	8	16	OmpA-like transmembrane domain	NA	NA	GO:0009279,GO:0016021
PF04756	7	20	4	8	12	14	OST3 / OST6 family	NA	NA	NA
PF03985	7	19	6	16	10	15	Paf1	NA	GO:0006368,GO:0016570	GO:0016593
PF09411	7	11	4	3	3	11	Lipid A 3-O-deacylase (PagL)	NA	NA	NA
PF00292	7	5	1	7	5	6	'Paired box' domain	GO:0003677	GO:0006355	NA
PF09492	7	7	13	8	1	30	Pectic acid lyase	NA	NA	NA
PF08496	7	8	12	7	14	25	Peptidase family S49 N-terminal	GO:0004252	NA	GO:0005886
PF03660	7	1	4	7	4	3	PHF5-like protein	NA	NA	NA
PF00792	7	1	3	5	3	6	Phosphoinositide 3-kinase C2	NA	NA	NA
PF16734	7	4	8	6	2	3	Type IV pilin-like G and H, putative	NA	NA	NA
PF08337	7	14	4	14	14	16	Plexin cytoplasmic RasGAP domain	NA	NA	NA
PF02765	7	5	5	2	7	13	Telomeric single stranded DNA binding POT1/CDC13	GO:0003677	GO:0000723	GO:0000784
PF03291	7	6	6	3	18	8	mRNA capping enzyme	NA	NA	NA
PF03247	7	15	8	6	7	18	Prothymosin/parathymosin family	NA	NA	NA
PF10343	7	5	5	3	8	11	Potential Queuosine, Q, salvage protein family	NA	NA	NA
PF04825	7	9	9	4	7	7	N terminus of Rad21 / Rec8 like protein	GO:0005515	NA	NA
PF00618	7	12	4	8	9	7	RasGEF N-terminal motif	NA	NA	NA
PF15519	7	3	0	3	7	6	linker between RRM2 and RRM3 domains in RBM39 protein	NA	NA	NA
PF00978	7	4	8	5	14	48	RNA dependent RNA polymerase	GO:0003723,GO:0003968	GO:0006351	NA
PF14200	7	14	5	13	21	19	Ricin-type beta-trefoil lectin domain-like	NA	NA	NA
PF08454	7	8	0	7	23	14	RyR and IP3R Homology associated	NA	NA	NA
PF03870	7	14	4	14	9	12	RNA polymerase Rpb8	NA	GO:0006351	NA
PF10135	7	1	6	3	2	12	Rod binding protein	NA	NA	NA
PF08375	7	10	8	6	8	8	Proteasome regulatory subunit C-terminal	GO:0030234	GO:0042176	GO:0000502
PF05992	7	6	10	2	4	15	SbmA/BacA-like family	GO:0005215	GO:0006810	GO:0016021
PF04628	7	4	5	11	9	11	Sedlin, N-terminal conserved region	NA	GO:0006888	GO:0005622
PF03925	7	11	4	2	1	8	SeqA protein	GO:0003677	GO:0032297	NA
PF05916	7	15	5	6	4	10	GINS complex protein	NA	NA	NA
PF04802	7	8	0	8	5	5	Component of IIS longevity pathway SMK-1	NA	NA	NA
PF04130	7	13	6	9	9	15	Spc97 / Spc98 family	NA	GO:0000226,GO:0090063	GO:0000922,GO:0005815
PF00319	7	3	7	4	8	4	SRF-type transcription factor (DNA-binding and dimerisation domain)	GO:0003677,GO:0046983	NA	NA
PF05022	7	0	2	4	3	9	SRP40, C-terminal domain	NA	NA	NA
PF04722	7	6	3	5	4	4	Ssu72-like protein	GO:0004721	GO:0006397	GO:0005634
PF04433	7	9	4	3	9	16	SWIRM domain	GO:0005515	NA	NA
PF05134	7	3	4	3	3	2	Type II secretion system (T2SS), protein L	NA	NA	NA
PF03848	7	11	15	8	10	26	Tellurite resistance protein TehB	NA	NA	NA
PF17124	7	4	6	4	5	17	ThiJ/PfpI family-like	NA	NA	NA
PF11262	7	11	3	3	11	5	Transcription factor/nuclear export subunit protein 2	NA	NA	NA
PF08623	7	19	5	9	10	17	TATA-binding protein interacting (TIP20)	NA	NA	NA
PF07857	7	7	6	6	12	9	Transmembrane family, TMEM144 of transporters	NA	NA	NA
PF13103	7	3	11	4	5	10	TonB C terminal	NA	GO:0006810	NA
